clap_rank,guitar_rank,hat_rank,kick_rank,piano_rank,rim_rank,shake_rank,snare_rank,synth_rank,clap,guitar,hat,kick,piano,rim,shake,snare,synth,oscType_0,isNoise_0,A_0,D_0,S_0,R_0,pitch_0_0,pitch_1_0,pitch_2_0,pitch_3_0,bpCutLow_0,bpCutHigh_0,bpOrder_0,amplitude_0,start_0,length_0
9.0,3.0,6.0,1.0,7.0,5.0,8.0,4.0,2.0,0.0,0.1672535389661789,0.0931415855884552,0.21042951941490173,0.08171559870243073,0.12148290127515793,0.008040458895266056,0.1251729428768158,0.19276346266269684,0,0,1,2,0,1,48,8,32,0,48,96,1,2,3,6
9.0,3.0,6.0,1.0,7.0,5.0,8.0,4.0,2.0,0.0,0.1672535389661789,0.0931415855884552,0.21042951941490173,0.08171559870243073,0.12148290127515793,0.008040458895266056,0.1251729428768158,0.19276346266269684,0,0,1,2,0,1,48,8,32,0,48,96,1,2,3,6
2.0,4.0,1.0,8.0,7.0,9.0,6.0,5.0,3.0,0.17374670505523682,0.1571500450372696,0.1910661906003952,0.00585051579400897,0.0752352625131607,0.0,0.11001384258270264,0.12699583172798157,0.15994161367416382,1,1,0,2,2,3,66,68,80,96,80,99,0,1,3,6
9.0,3.0,4.0,2.0,6.0,5.0,8.0,7.0,1.0,0.0,0.18047210574150085,0.11279673129320145,0.19865334033966064,0.04103873297572136,0.09307229518890381,0.031021712347865105,0.035251911729574203,0.3076931834220886,0,1,0,1,2,1,70,92,96,32,34,39,1,0,7,0
8.0,7.0,2.0,3.0,9.0,4.0,6.0,5.0,1.0,0.00717886071652174,0.05762556567788124,0.23732975125312805,0.14507481455802917,0.0,0.12077545374631882,0.06175508722662926,0.10091898590326309,0.26934149861335754,0,0,2,0,2,3,116,8,72,48,88,119,2,0,4,0
9.0,6.0,2.0,3.0,8.0,5.0,4.0,7.0,1.0,0.0,0.08962086588144302,0.1850075125694275,0.13055190443992615,0.02161123789846897,0.10360386222600937,0.11480458080768585,0.05741826072335243,0.29738178849220276,0,0,1,3,0,2,106,36,112,0,100,101,1,0,2,0
7.0,8.0,2.0,4.0,9.0,6.0,3.0,5.0,1.0,0.03251821547746658,0.029597949236631393,0.23069840669631958,0.11372419446706772,0.0,0.09788980334997177,0.14247313141822815,0.11238956451416016,0.24070873856544495,0,1,0,2,2,3,12,76,88,32,96,105,2,3,1,6
5.0,3.0,2.0,7.0,6.0,8.0,9.0,4.0,1.0,0.05449177697300911,0.1564687043428421,0.17951186001300812,0.05115529149770737,0.05172901600599289,0.03227992355823517,0.0,0.15503698587417603,0.3193264603614807,0,1,2,0,0,1,8,92,96,112,20,115,0,1,0,3
8.0,3.0,2.0,5.0,6.0,7.0,9.0,4.0,1.0,0.038615867495536804,0.15699662268161774,0.15832941234111786,0.1001291498541832,0.09699510782957077,0.08770854771137238,0.0,0.11616303026676178,0.24506226181983948,1,0,3,0,3,3,50,48,8,96,24,96,2,2,9,0
8.0,3.0,2.0,6.0,4.0,7.0,9.0,5.0,1.0,0.01603667624294758,0.11660438776016235,0.22141671180725098,0.10838378220796585,0.11410431563854218,0.03209221363067627,0.0,0.11288188397884369,0.27848002314567566,1,0,3,0,1,2,72,72,112,32,32,99,1,3,4,5
8.0,7.0,2.0,5.0,9.0,6.0,4.0,3.0,1.0,0.04268829524517059,0.04668575897812843,0.19981107115745544,0.11469379812479019,0.0,0.10682271420955658,0.11595427244901657,0.13751983642578125,0.23582425713539124,0,1,2,2,2,1,42,92,8,64,96,105,1,3,8,1
6.0,5.0,3.0,8.0,9.0,1.0,7.0,4.0,2.0,0.07370422780513763,0.088811494410038,0.18867862224578857,0.04384850710630417,0.0,0.21306845545768738,0.06722763925790787,0.12007446587085724,0.20458659529685974,0,1,3,3,0,0,58,28,8,64,114,119,2,2,1,8
5.0,7.0,2.0,3.0,9.0,4.0,6.0,8.0,1.0,0.03886862099170685,0.02084222435951233,0.20807641744613647,0.12688037753105164,0.0,0.07910678535699844,0.028219252824783325,0.019819002598524094,0.47818732261657715,0,1,1,0,1,0,108,80,96,64,76,79,1,2,9,0
7.0,5.0,2.0,6.0,9.0,4.0,3.0,8.0,1.0,0.034109000116586685,0.08704769611358643,0.20162245631217957,0.07633761316537857,0.0,0.08991435915231705,0.12605611979961395,0.0251399464905262,0.35977280139923096,0,0,2,0,3,0,54,56,112,64,74,100,1,1,3,6
5.0,3.0,4.0,9.0,2.0,6.0,8.0,7.0,1.0,0.06905121356248856,0.17513446509838104,0.1557222306728363,0.0,0.18023909628391266,0.04459463432431221,0.019848622381687164,0.03732749819755554,0.3180822432041168,0,1,0,3,1,1,30,72,0,80,38,79,1,2,7,0
8.0,5.0,3.0,2.0,9.0,7.0,4.0,6.0,1.0,0.0019126528641209006,0.08609176427125931,0.18480567634105682,0.22908388078212738,0.0,0.05301234498620033,0.08812471479177475,0.0578463114798069,0.2991226613521576,0,1,2,0,1,0,44,44,48,96,4,16,2,2,2,7
8.0,4.0,1.0,5.0,9.0,3.0,6.0,7.0,2.0,0.006702709943056107,0.11797170341014862,0.22764626145362854,0.11751244962215424,0.0,0.17606547474861145,0.07932952046394348,0.06322798132896423,0.21154390275478363,0,1,2,0,2,3,108,76,64,96,106,108,1,2,2,7
8.0,2.0,4.0,7.0,3.0,5.0,6.0,9.0,1.0,0.042496029287576675,0.20375221967697144,0.10349275171756744,0.05670846998691559,0.1346873641014099,0.09091926366090775,0.0723629966378212,0.0,0.2955809235572815,0,1,1,0,2,1,6,0,64,32,32,73,2,0,0,1
9.0,6.0,3.0,2.0,8.0,5.0,4.0,7.0,1.0,0.0,0.06890706717967987,0.18094076216220856,0.2358570098876953,0.025539575144648552,0.07190041989088058,0.08182711899280548,0.030671069398522377,0.30435696244239807,2,1,2,0,0,1,28,8,16,16,0,4,0,2,8,1
8.0,6.0,2.0,4.0,9.0,5.0,7.0,3.0,1.0,0.0157876368612051,0.08162546902894974,0.1825266033411026,0.11166751384735107,0.0,0.10257133841514587,0.04544280469417572,0.11985886096954346,0.3405197560787201,0,0,2,0,1,3,98,116,72,96,76,99,1,0,8,1
