feats,label,path,drum_type
"[0.0, 0.44654304, 0.06701409, 0.0, 0.36618415, 0.24978054, 0.1502896, 0.15522644, 0.02724173, 0.0, 0.09365598, 0.046959005, 0.2996727, 0.0, 0.3246544, 0.00027816743, 0.08992228, 0.1740217, 0.0, 0.0, 0.27581024, 0.016097542, 0.03867336, 0.0, 0.19220887, 0.0, 0.0, 0.0, 0.06020207, 0.0, 0.0, 0.0, 0.24910206, 0.0, 0.044477135, 0.10547829, 0.24553424, 0.056980707, 0.0, 0.0, 0.11626907, 0.06492036, 0.0, 0.0, 0.11866732, 0.0, 0.0, 0.16876344, 0.057260618, 0.0, 0.14030465, 0.049798995, 0.0, 0.0, 0.15523604, 0.11142311, 0.37974155, 0.118615046, 0.09650238, 0.14035125, 0.16830531, 0.0, 0.0018234849, 0.0]",0,./dk_data/tom_high/Roland Tr-909-TR-909Tom Hi 01.wav,tom_high
"[0.0, 0.30851525, 0.029034711, 0.0, 0.37468955, 0.30979323, 0.15888408, 0.26626202, 0.017393317, 0.0, 0.086488195, 0.061919272, 0.34985158, 0.0, 0.2706687, 0.09402018, 0.11330287, 0.12149765, 0.0, 0.0, 0.19424504, 0.05387596, 0.06065436, 0.0, 0.11855546, 0.0, 0.0, 0.0, 0.13334474, 0.0, 0.0, 0.0, 0.14399171, 0.0, 0.07171996, 0.06260069, 0.16256139, 0.10062605, 0.0, 0.0, 0.12938415, 0.07725346, 0.0, 0.0, 0.22038716, 0.0, 0.049072657, 0.1569701, 0.106542185, 0.0, 0.1057277, 0.076699555, 0.0, 0.0, 0.032287702, 0.12805338, 0.20522137, 0.032634664, 0.040392715, 0.2290358, 0.17545593, 0.0, 0.0042344406, 0.0]",0,./dk_data/tom_high/Kawai R50e-R50eTomA_Hi.wav,tom_high
"[0.0, 0.1965537, 0.074128844, 0.0, 0.057798594, 0.10219632, 0.08995073, 0.18648088, 0.0940194, 0.0, 0.10634005, 0.04007297, 0.22179796, 0.0, 0.51589096, 0.062425643, 0.20790865, 0.07498015, 0.0, 0.0, 0.0, 0.085004404, 0.08874943, 0.0, 0.16873565, 0.0, 0.0, 0.0, 0.031222895, 0.0, 0.0, 0.0, 0.16474044, 0.0, 0.08216674, 0.059191097, 0.167555, 0.0728405, 0.0, 0.0, 0.02092015, 0.09323127, 0.0, 0.0, 0.15309647, 0.0, 0.14528173, 0.15796155, 0.14904876, 0.0, 0.4562953, 0.094271004, 0.0, 0.0, 0.15055953, 0.0, 0.0, 0.3071669, 0.029260917, 0.0, 0.3982886, 0.0, 0.1901271, 0.0]",0,./dk_data/tom_high/Vermona Drum-MaxV - Tom Hi.wav,tom_high
"[0.0, 0.19961339, 0.20178601, 0.0, 0.69795865, 0.08780726, 0.11597707, 0.050551623, 0.13768889, 0.0, 0.073241815, 0.064702824, 0.43930563, 0.0, 0.54898155, 0.33843327, 0.33044624, 0.12871984, 0.0, 0.0, 0.40599012, 0.15275031, 0.18628262, 0.0, 0.1366946, 0.0, 0.0, 0.0, 0.32284755, 0.0, 0.0, 0.0, 0.161041, 0.0, 0.02901521, 0.12956807, 0.08732661, 0.49970382, 0.0, 0.0, 0.19655745, 0.28467694, 0.0, 0.0, 0.0, 0.0, 0.051958185, 0.046773314, 0.0, 0.0, 0.15714347, 0.4972284, 0.0, 0.0, 0.018947609, 0.0, 0.14803365, 0.31593573, 0.2922887, 0.42967343, 0.22228143, 0.0, 0.16716063, 0.0]",0,./dk_data/tom_high/Kawai R50-R50 TomH.wav,tom_high
"[0.0, 0.2291852, 0.06923121, 0.0, 0.38046622, 0.09262511, 0.08721529, 0.059902124, 0.047706254, 0.0, 0.050213475, 0.06522887, 0.086709894, 0.0, 0.19949499, 0.092353106, 0.08160196, 0.10525493, 0.0, 0.0, 0.30154228, 0.0, 0.050065804, 0.0, 0.143629, 0.0, 0.0, 0.0, 0.094751984, 0.0, 0.0, 0.0, 0.14405012, 0.0, 0.12367697, 0.082875535, 0.06438473, 0.07739708, 0.0, 0.0, 0.09764804, 0.049072966, 0.0, 0.0, 0.07742182, 0.0, 0.05749911, 0.05997775, 0.107002646, 0.0, 0.051494516, 0.05151149, 0.0, 0.0, 0.10132137, 0.11162656, 0.17314026, 0.08345536, 0.07964907, 0.1679683, 0.05995264, 0.0, 0.05717706, 0.0]",0,./dk_data/tom_high/Alesis Hr16-MaxV - HR16 10-DBL TOM.wav,tom_high
"[0.0, 0.31021377, 0.092553146, 0.0, 0.359025, 0.07356707, 0.08760048, 0.08759093, 0.0642645, 0.0, 0.03218831, 0.0, 0.05283119, 0.0, 0.16938516, 0.12290395, 0.10436764, 0.1795347, 0.0, 0.0, 0.28648198, 0.0, 0.054773096, 0.0, 0.21241026, 0.0, 0.0, 0.0, 0.0789144, 0.0, 0.0, 0.0, 0.12991065, 0.0, 0.02716504, 0.011452168, 0.12985328, 0.13958119, 0.0, 0.0, 0.16664894, 0.055831283, 0.0, 0.0, 0.084168546, 0.0, 0.015288167, 0.07391757, 0.056068815, 0.0, 0.060246542, 0.12710059, 0.0, 0.0, 0.14756832, 0.14925984, 0.3439414, 0.049603287, 0.07668018, 0.15305088, 0.11413243, 0.0, 0.009556107, 0.0]",0,./dk_data/tom_high/Yamaha RX21-RX21Tom_Hi.wav,tom_high
"[0.0, 0.08246981, 0.013199791, 0.0, 0.26473993, 0.090722404, 0.041668747, 0.28810346, 0.1392163, 0.0, 0.05947412, 0.112898454, 0.14903636, 0.0, 0.16617204, 0.2088852, 0.13254504, 0.07745789, 0.0, 0.0, 0.2967272, 0.0026137307, 0.09272614, 0.0, 0.033917353, 0.0, 0.0, 0.0, 0.122706175, 0.0, 0.0, 0.0, 0.17092425, 0.0, 0.12514514, 0.23870118, 0.4300617, 0.26301098, 0.0, 0.0, 0.021897525, 0.044183027, 0.0, 0.0, 0.1973759, 0.0, 0.056774776, 0.23002529, 0.16550764, 0.0, 0.12596563, 0.0053108893, 0.0, 0.0, 0.4227435, 0.03945804, 0.31415913, 0.2056463, 0.102106966, 0.1262601, 0.010940358, 0.0, 0.010090396, 0.0]",0,./dk_data/tom_high/Alesis DM5-DM5Tom03_Hi.wav,tom_high
"[0.0, 0.5815759, 0.3931326, 0.0, 0.58360547, 0.07060203, 0.09390772, 0.22703856, 0.19411507, 0.0, 0.07592782, 0.1595478, 0.035387386, 0.0, 0.31785497, 0.19987294, 0.060948174, 0.3128425, 0.0, 0.0, 0.5016726, 0.0, 0.09798756, 0.0, 0.13775703, 0.0, 0.0, 0.0, 0.11278361, 0.0, 0.0, 0.0, 0.90719855, 0.0, 0.07219722, 0.2516526, 0.12792088, 0.27973595, 0.0, 0.0, 0.08393027, 0.0, 0.0, 0.0, 0.13611929, 0.0, 0.0, 0.136767, 0.51352227, 0.0, 0.09720822, 0.055471823, 0.0, 0.0, 0.15158674, 0.0, 0.60633314, 0.15577419, 0.13697726, 0.17269069, 0.07509032, 0.0, 0.0023008958, 0.0]",0,./dk_data/tom_high/Yamaha SY22-Tom2elsy45.wav,tom_high
"[0.0, 0.38461575, 0.115627125, 0.0, 0.19375186, 0.12660886, 0.09764956, 0.21069284, 0.13132383, 0.0, 0.059466638, 0.0, 0.11687133, 0.0, 0.12161128, 0.1606804, 0.14485395, 0.23740536, 0.0, 0.0, 0.2515998, 0.0, 0.051770896, 0.0, 0.24212347, 0.0, 0.0, 0.0, 0.0975544, 0.0, 0.0, 0.0, 0.20242715, 0.0, 0.0, 0.06693837, 0.28105414, 0.22896236, 0.0, 0.0, 0.2327686, 0.005454298, 0.0, 0.0, 0.042559378, 0.0, 0.019239321, 0.15951642, 0.11161813, 0.0, 0.19746867, 0.1249419, 0.0, 0.0, 0.2252956, 0.15488176, 0.51844275, 0.13597941, 0.09920199, 0.2325789, 0.07706466, 0.0, 0.010106295, 0.0]",0,./dk_data/tom_high/mercure_drums-gd-tom1.wav,tom_high
"[0.0, 0.8386196, 0.0, 0.0, 0.5352867, 0.4322412, 0.0, 0.81041163, 0.26495248, 0.0, 0.058904044, 0.018946055, 0.31538305, 0.0, 0.7679546, 0.16890797, 0.3401202, 0.21051666, 0.0, 0.0, 0.56323725, 0.27870274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41633654, 0.0, 0.0, 0.0, 0.8620084, 0.0, 0.30952656, 0.5734544, 0.0, 0.36262834, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.48837897, 0.0, 0.0025959983, 0.12740028, 1.0467236, 0.0, 0.00733684, 0.08429398, 0.0, 0.0, 0.3193379, 0.0, 0.39214984, 0.6807934, 0.0, 0.40333992, 0.0, 0.0, 0.0, 0.0]",0,./dk_data/tom_high/Emu Drumulator-DrumulatorTom03.wav,tom_high
