feats,label,path,drum_type
"[0.44908243, 0.34384596, 1.346668, 0.9108702, 0.7085102, 0.4545952, 0.141439, 1.1345713]",0,./dk_data/tom_high/Roland Tr-909-TR-909Tom Hi 01.wav,tom_high
"[0.49637628, 0.56960046, 1.3585787, 0.89123154, 0.77016354, 0.5209398, 0.2136813, 0.9828821]",0,./dk_data/tom_high/Kawai R50e-R50eTomA_Hi.wav,tom_high
"[0.29837713, 0.55369973, 0.81608593, 0.5550825, 0.47232288, 0.5348643, 0.34161747, 0.6091312]",0,./dk_data/tom_high/Vermona Drum-MaxV - Tom Hi.wav,tom_high
"[0.76123273, 0.50197244, 2.0319505, 1.5856913, 0.8667532, 0.5939083, 0.4595814, 1.0687988]",0,./dk_data/tom_high/Kawai R50-R50 TomH.wav,tom_high
"[0.50962687, 0.5778665, 1.2098458, 0.97820926, 0.68563443, 0.37425858, 0.2793793, 1.0755358]",0,./dk_data/tom_high/Alesis Hr16-MaxV - HR16 10-DBL TOM.wav,tom_high
"[0.52595, 0.49751586, 1.3635932, 0.8930962, 0.6441452, 0.35220206, 0.23784217, 1.1829796]",0,./dk_data/tom_high/Yamaha RX21-RX21Tom_Hi.wav,tom_high
"[0.26686347, 0.51738054, 0.9848309, 1.1405348, 0.5491615, 0.55743945, 0.053964764, 1.3410358]",0,./dk_data/tom_high/Alesis DM5-DM5Tom03_Hi.wav,tom_high
"[0.7317592, 0.31193566, 1.2310889, 1.395517, 1.1355945, 0.75931776, 0.016143888, 2.2136803]",0,./dk_data/tom_high/Yamaha SY22-Tom2elsy45.wav,tom_high
"[0.41939187, 0.34488776, 1.3497738, 0.7459862, 0.554534, 0.43695217, 0.12980437, 1.3343338]",0,./dk_data/tom_high/mercure_drums-gd-tom1.wav,tom_high
"[0.8063756, 1.1818925, 1.9052486, 2.1160595, 1.7918437, 1.5464683, 0.40291038, 3.3404574]",0,./dk_data/tom_high/Emu Drumulator-DrumulatorTom03.wav,tom_high
"[0.46748203, 0.53632504, 1.3987101, 0.92537344, 0.8047359, 0.5052496, 0.22316155, 1.0080805]",0,./dk_data/tom_high/Kawai r-50-MaxV - RTOMHREV.wav,tom_high
"[0.3840077, 0.588951, 1.1974285, 1.2934544, 0.53311396, 0.4213032, 0.1033643, 1.3695704]",0,./dk_data/tom_high/Alesis DM5-DM5Tom04_Hi.wav,tom_high
"[0.35091195, 0.39736342, 1.0943999, 0.92946887, 0.47211224, 0.43389493, 0.2658167, 1.1096474]",0,./dk_data/tom_high/Sequential Tom-TOMTom_Hi.wav,tom_high
"[0.29559526, 0.5363658, 1.1657419, 1.1789328, 0.5455037, 0.43493795, 0.10843186, 1.2923467]",0,./dk_data/tom_high/Emu Drumulator-DrumulatorTom02.wav,tom_high
"[0.565765, 0.6480558, 1.1696634, 0.85520965, 0.6259092, 0.324781, 0.31400353, 0.89848995]",0,./dk_data/tom_high/Roland Tr-606-TR606TomHi05.wav,tom_high
"[0.5860981, 0.47845215, 1.395933, 1.2554615, 0.78608644, 0.66894233, 0.36565614, 1.6108235]",0,./dk_data/tom_high/Akai Mpc60-MaxV - Tom High.wav,tom_high
"[0.8303029, 1.7664756, 2.5909483, 0.8855783, 1.5864495, 0.98031867, 0.94565094, 1.504716]",0,./dk_data/tom_high/Coron Drum Synce DS-7-coron-ds7-tom7.wav,tom_high
"[0.30873471, 0.42504287, 0.9289136, 0.94308555, 0.3861309, 0.3892446, 0.24194029, 1.0691648]",0,./dk_data/tom_high/Roland Tr-909-TR-909Tom Hi 02.wav,tom_high
"[0.24122372, 0.46951842, 1.1703079, 0.9966687, 0.52710044, 0.38600856, 0.14772624, 1.2303369]",0,./dk_data/tom_high/Sequential DrumTraks Tom-MaxV - Tom Hi.wav,tom_high
"[0.48209152, 0.56100196, 0.9422817, 0.65196157, 0.5660999, 0.38465083, 0.36857146, 0.7751548]",0,./dk_data/tom_high/Boss DR-202-202tom01.wav,tom_high
"[0.39638633, 0.6909262, 1.582617, 2.892252, 1.165255, 0.525046, 1.9283404, 0.98951846]",0,./dk_data/tom_high/Coron Drum Synce DS-7-coron-ds7-tom5.wav,tom_high
"[0.5430164, 0.38272107, 1.6404679, 0.9411212, 0.7632725, 0.42187575, 0.28535354, 1.46534]",0,./dk_data/tom_high/Roland Tr-606-TR606TomHi_OD.wav,tom_high
"[0.5186548, 0.3445685, 1.8563702, 1.0213823, 0.8732325, 0.4208856, 0.48411787, 1.5620282]",0,./dk_data/tom_high/Roland MC303-MaxV - Achitom2.wav,tom_high
"[0.5546606, 0.44133654, 1.3343947, 1.188807, 0.79626095, 0.46579298, 0.24009445, 1.5849541]",0,./dk_data/tom_high/Alesis Hr16-HR16Tom02.wav,tom_high
"[0.55303067, 0.63108814, 1.1660728, 0.86121273, 0.63961995, 0.3264257, 0.31808951, 0.9219325]",0,./dk_data/tom_high/Roland Tr-606-MaxV - Roland Tr-606 - Tom-Hi.wav,tom_high
